estado,fecha,hosp_gral,cama_venti,venti_uci
Campeche,17/06/2021,9.76,11,18.75
Chiapas,17/06/2021,5.34,7.52,6.25
Chihuahua,17/06/2021,12.25,11.04,9.67
Ciudad de México,17/06/2021,24.07,13.98,13.84
Coahuila de Zaragoza,17/06/2021,14.7,7.54,33.33
Colima,17/06/2021,9.47,20,33.33
Durango,17/06/2021,26.58,20,33.96
Guanajuato,17/06/2021,4.17,1.91,8.92
Guerrero,17/06/2021,8.09,4.95,5.12
Hidalgo,17/06/2021,16.08,11.4,0
Jalisco,17/06/2021,12.71,7.39,13.17
México,17/06/2021,12.81,6.35,19.64
Michoacán de Ocampo,17/06/2021,5.84,9.73,8.33
Morelos,17/06/2021,9.38,1.75,0
Nayarit,17/06/2021,26.85,9.09,0
Nuevo León,17/06/2021,31.41,17.64,40.15
Oaxaca,17/06/2021,13.75,10.71,3.5
Puebla,17/06/2021,11,6.96,29.57
Querétaro,17/06/2021,3.96,1.96,31.81
Quintana Roo,17/06/2021,39.36,20.08,32.78
San Luis Potosí,17/06/2021,5.4,6.14,12
Sinaloa,17/06/2021,25.05,16.66,23.07
Sonora,17/06/2021,21.13,17.71,28.57
Tabasco,17/06/2021,25.91,34.71,35.8
Tamaulipas,17/06/2021,34.23,17.47,37.89
Tlaxcala,17/06/2021,1.35,8.25,0
Veracruz de Ignacio de la Llave,17/06/2021,17.65,8.49,18.39
Yucatán,17/06/2021,22.86,48.46,80.95
Zacatecas,17/06/2021,2.54,6.01,27.77
Aguascalientes,18/06/2021,15.83,10.23,9.67
Baja California,18/06/2021,16.5,13.85,11.62
Baja California Sur,18/06/2021,54.18,45.07,0
Campeche,18/06/2021,10.08,11,18.75
Chiapas,18/06/2021,5.1,6.76,2.12
Chihuahua,18/06/2021,12.2,10.22,8.57
Ciudad de México,18/06/2021,23.67,13.1,24.36
Coahuila de Zaragoza,18/06/2021,8.56,6.99,20
Colima,18/06/2021,9.47,16,33.33
Durango,18/06/2021,32.97,10,37.5
Guanajuato,18/06/2021,3.73,2.07,8.92
Guerrero,18/06/2021,8.64,5.85,6.41
Hidalgo,18/06/2021,15.24,9.02,0
Jalisco,18/06/2021,12.37,7.67,11.76
México,18/06/2021,11.59,6.54,27.17
Michoacán de Ocampo,18/06/2021,5.18,9.45,8.33
Morelos,18/06/2021,9.28,1.85,0
Nayarit,18/06/2021,25,11.39,100
Nuevo León,18/06/2021,29.2,17.46,35.33
Oaxaca,18/06/2021,11.45,16,13.11
Puebla,18/06/2021,10.44,6.99,23.07
Querétaro,18/06/2021,3.66,1.58,12.5
Quintana Roo,18/06/2021,39.13,19.83,31.66
San Luis Potosí,18/06/2021,10.81,5.78,12
Sinaloa,18/06/2021,26.88,18.75,27.16
Sonora,18/06/2021,26.19,18.56,36.17
Tabasco,18/06/2021,25.09,34.19,32.5
Tamaulipas,18/06/2021,36.29,16.79,37.5
Tlaxcala,18/06/2021,2.72,7.4,0
Veracruz de Ignacio de la Llave,18/06/2021,17.4,7.91,18.39
Yucatán,18/06/2021,23.12,49.1,78.26
Zacatecas,18/06/2021,3.38,6.01,27.77
Aguascalientes,19/06/2021,21.25,9.09,22.58
Baja California,19/06/2021,10.96,12.54,21.73
Baja California Sur,19/06/2021,71.3,77.31,0
Campeche,19/06/2021,9.19,6.66,12.5
Chiapas,19/06/2021,4.59,6.04,2.12
Chihuahua,19/06/2021,9.43,7.3,2.77
Ciudad de México,19/06/2021,23.3,13.44,18.69
Coahuila de Zaragoza,19/06/2021,10.78,9.09,20
Colima,19/06/2021,15.62,12.76,0
Durango,19/06/2021,21.05,21.25,34.14
Guanajuato,19/06/2021,3.68,1.62,7.69
Guerrero,19/06/2021,7.42,6.66,7.81
Hidalgo,19/06/2021,14.84,9.65,0
Jalisco,19/06/2021,12.12,8.2,11.33
México,19/06/2021,10.77,6.03,25.53
Michoacán de Ocampo,19/06/2021,5.71,8.63,8.33
Morelos,19/06/2021,8.21,0,0
Nayarit,19/06/2021,25,11.39,100
Nuevo León,19/06/2021,29.11,17.03,36.65
Oaxaca,19/06/2021,18.45,22.72,48
Puebla,19/06/2021,9.58,5.63,7.01
Querétaro,19/06/2021,4.74,1.98,18.75
Quintana Roo,19/06/2021,39.47,21.72,31.66
San Luis Potosí,19/06/2021,10.88,6.35,16
Sinaloa,19/06/2021,27.35,20.85,28.2
Sonora,19/06/2021,30.61,21.68,34.14
Tabasco,19/06/2021,27.07,30.61,38.82
Tamaulipas,19/06/2021,34.36,15.27,34.48
Tlaxcala,19/06/2021,2.02,6.54,0
Veracruz de Ignacio de la Llave,19/06/2021,16.77,8.72,16.12
Yucatán,19/06/2021,23.95,48.33,54.28
Zacatecas,19/06/2021,3.38,5.26,22.22
Aguascalientes,20/06/2021,20,9.01,19.35
Baja California,20/06/2021,9.3,14.02,21.73
Baja California Sur,20/06/2021,56.25,49.76,0
Campeche,20/06/2021,10.69,6.93,12.5
Chiapas,20/06/2021,4.61,6.42,2.12
Chihuahua,20/06/2021,9.4,6.25,5.45
Ciudad de México,20/06/2021,22.39,9.33,7.66
Coahuila de Zaragoza,20/06/2021,12.07,9.32,60
Colima,20/06/2021,14.73,14,0
Durango,20/06/2021,21.79,9.19,10.41
Guanajuato,20/06/2021,3.48,0.95,0
Guerrero,20/06/2021,8.03,6.25,7.81
Hidalgo,20/06/2021,16.19,10.88,0
Jalisco,20/06/2021,10.65,7.18,11.05
México,20/06/2021,11.15,5.87,18.91
Michoacán de Ocampo,20/06/2021,6.54,7.94,10
Morelos,20/06/2021,8.1,0,0
Nayarit,20/06/2021,24.54,10.25,0
Nuevo León,20/06/2021,26.98,19.65,37.31
Oaxaca,20/06/2021,12.42,21.62,44
Puebla,20/06/2021,9.7,5.3,18.46
Querétaro,20/06/2021,4.37,2.38,25
Quintana Roo,20/06/2021,39.13,22.76,45
San Luis Potosí,20/06/2021,11.77,6.74,23.52
Sinaloa,20/06/2021,26.25,20.47,28.2
Sonora,20/06/2021,31.31,21.27,40.62
Tabasco,20/06/2021,35.07,34.21,40.9
Tamaulipas,20/06/2021,34.57,14.54,31.81
Tlaxcala,20/06/2021,2.02,7.4,0
Veracruz de Ignacio de la Llave,20/06/2021,18.13,7.66,14.94
Yucatán,20/06/2021,25.63,43.02,62.85
Zacatecas,20/06/2021,4,6.34,16.66
Aguascalientes,21/06/2021,20.86,9.02,9.67
Baja California,21/06/2021,15.61,17.15,11.36
Baja California Sur,21/06/2021,61.18,50.73,0
Campeche,21/06/2021,10.98,9.7,18.18
Chiapas,21/06/2021,3.81,6.08,1.72
Chihuahua,21/06/2021,9.28,7.3,4.28
Ciudad de México,21/06/2021,23.49,13.8,13.89
Coahuila de Zaragoza,21/06/2021,9.88,7.23,42.85
Colima,21/06/2021,11.82,21.15,0
Durango,21/06/2021,32.63,10.44,31.25
Guanajuato,21/06/2021,3.55,1.31,7.14
Guerrero,21/06/2021,8.19,5.58,7.69
Hidalgo,21/06/2021,13.75,9.02,0
Jalisco,21/06/2021,14.63,6.71,12.12
México,21/06/2021,11.9,6.81,17.11
Michoacán de Ocampo,21/06/2021,6.68,8.48,8.33
Morelos,21/06/2021,10.38,0,100
Nayarit,21/06/2021,20.9,8.75,0
Nuevo León,21/06/2021,28.47,18.55,38.32
Oaxaca,21/06/2021,13.4,20.19,43.47
Puebla,21/06/2021,10.05,6,14.51
Querétaro,21/06/2021,5.07,2,31.57
Quintana Roo,21/06/2021,40.7,19.42,27.58
San Luis Potosí,21/06/2021,11.84,7.18,16
Sinaloa,21/06/2021,27.73,19.72,29.26
Sonora,21/06/2021,29.68,23.39,35.55
Tabasco,21/06/2021,27.62,36.97,38.09
Tamaulipas,21/06/2021,34.79,17.37,33.68
Tlaxcala,21/06/2021,2.02,7.4,0
Veracruz de Ignacio de la Llave,21/06/2021,18.19,7.12,13.79
Yucatán,21/06/2021,24.22,45.78,60
Zacatecas,21/06/2021,1.6,5.55,16.66
Aguascalientes,22/06/2021,19.65,9.16,0
Baja California,22/06/2021,16.4,14.09,11.36
Baja California Sur,22/06/2021,65.12,54.73,14.28
Campeche,22/06/2021,14.61,6.72,13.33
Chiapas,22/06/2021,4.09,4.94,2.12
Chihuahua,22/06/2021,8.85,7.9,4.28
Ciudad de México,22/06/2021,24.08,13.25,13.89
Coahuila de Zaragoza,22/06/2021,8.67,6.71,44.44
Colima,22/06/2021,13.26,25.42,33.33
Durango,22/06/2021,21.34,9.72,10.25
Guanajuato,22/06/2021,3.41,2,9.09
Guerrero,22/06/2021,7.58,7.42,7.69
Hidalgo,22/06/2021,14.33,8.27,6.66
Jalisco,22/06/2021,14.79,6.65,12.19
México,22/06/2021,13.06,6.87,18.88
Michoacán de Ocampo,22/06/2021,6.13,7.92,15.38
Morelos,22/06/2021,10.75,0,0
Nayarit,22/06/2021,26.6,8.53,0
Nuevo León,22/06/2021,23.08,17.7,38.57
Oaxaca,22/06/2021,16,22.22,56
Puebla,22/06/2021,10.45,6.29,17.18
Querétaro,22/06/2021,5.41,2.76,22.72
Quintana Roo,22/06/2021,41.93,20.4,27.86
San Luis Potosí,22/06/2021,10.91,7.6,22.22
Sinaloa,22/06/2021,32.21,19.02,29.26
Sonora,22/06/2021,29.94,24.17,37.77
Tabasco,22/06/2021,29.54,42.6,40.27
Tamaulipas,22/06/2021,32.89,17.21,31.16
Tlaxcala,22/06/2021,0.67,7.33,0
Veracruz de Ignacio de la Llave,22/06/2021,18.97,8.19,14.28
Yucatán,22/06/2021,23.5,42.69,74.28
Zacatecas,22/06/2021,4.12,5.26,16.66
Aguascalientes,23/06/2021,16.23,9.09,0
Baja California,23/06/2021,16.21,16.21,11.36
Baja California Sur,23/06/2021,66.26,54.97,28.57
Campeche,23/06/2021,12.66,5.69,15.62
Chiapas,23/06/2021,4.09,5.28,2.12
Chihuahua,23/06/2021,9.3,7.31,4.54
Ciudad de México,23/06/2021,24.02,13.47,13.73
Coahuila de Zaragoza,23/06/2021,11.16,6.66,0
Colima,23/06/2021,11.34,25,0
Durango,23/06/2021,17.94,13.69,17.5
Guanajuato,23/06/2021,3.04,1.58,7.14
Guerrero,23/06/2021,7.33,6.79,7.69
Hidalgo,23/06/2021,15.12,8.39,6.66
Jalisco,23/06/2021,13.73,8.24,14
México,23/06/2021,12.27,7.35,15.92
Michoacán de Ocampo,23/06/2021,6.74,8.33,21.42
Morelos,23/06/2021,10.37,0,0
Nayarit,23/06/2021,20.95,11.62,0
Nuevo León,23/06/2021,25,15.29,29.46
Oaxaca,23/06/2021,22.66,19.19,65
Puebla,23/06/2021,10.93,6.94,20.89
Querétaro,23/06/2021,2.88,3.55,31.81
Quintana Roo,23/06/2021,42.47,19.67,27.86
San Luis Potosí,23/06/2021,12.14,7.14,22.22
Sinaloa,23/06/2021,29.95,17.59,22.22
Sonora,23/06/2021,32.27,26.62,38.46
Tabasco,23/06/2021,25.95,42.45,40.86
Tamaulipas,23/06/2021,34.33,18.35,34.06
Tlaxcala,23/06/2021,0.66,6.48,0
Veracruz de Ignacio de la Llave,23/06/2021,19.91,6.64,14.94
Yucatán,23/06/2021,24.06,40.11,75
Zacatecas,23/06/2021,2.97,4.65,11.11
Aguascalientes,24/06/2021,21.13,9.52,16.12
Baja California,24/06/2021,18.58,12.08,11.36
Baja California Sur,24/06/2021,75.83,79.48,14.28
Campeche,24/06/2021,10.23,4.09,3.33
Chiapas,24/06/2021,5.63,3.94,2.12
Chihuahua,24/06/2021,8.29,8.12,3.27
Ciudad de México,24/06/2021,24.01,14.66,13.52
Coahuila de Zaragoza,24/06/2021,8.3,6.08,0
Colima,24/06/2021,8.16,25,0
Durango,24/06/2021,27.05,8.1,19.14
Guanajuato,24/06/2021,2.88,1.87,9.8
Guerrero,24/06/2021,7.23,8.25,7.81
Hidalgo,24/06/2021,15.62,7.04,6.66
Jalisco,24/06/2021,13.26,7.86,15.04
México,24/06/2021,13.11,7.48,14.95
Michoacán de Ocampo,24/06/2021,6.87,8.15,18.18
Morelos,24/06/2021,11.11,0,0
Nayarit,24/06/2021,22.42,13.09,0
Nuevo León,24/06/2021,23.4,16.26,33.33
Oaxaca,24/06/2021,15.38,25.31,56.25
Puebla,24/06/2021,11.14,6.66,18.46
Querétaro,24/06/2021,5.03,1.58,18.18
Quintana Roo,24/06/2021,43.06,19.56,40.47
San Luis Potosí,24/06/2021,8.51,7.18,22.22
Sinaloa,24/06/2021,32.37,18.18,23.07
Sonora,24/06/2021,32.47,24.58,39.02
Tabasco,24/06/2021,27.33,40.39,41.3
Tamaulipas,24/06/2021,33.5,18.25,33.69
Tlaxcala,24/06/2021,2.64,5.55,0
Veracruz de Ignacio de la Llave,24/06/2021,20,6.81,12.94
Yucatán,24/06/2021,25.02,41.31,72.72
Zacatecas,24/06/2021,3.96,3.9,11.11
Aguascalientes,25/06/2021,18.1,8.39,0
Baja California,25/06/2021,16.3,14.07,16.66
Baja California Sur,25/06/2021,56.12,53.52,0
Campeche,25/06/2021,12,4.16,6.45
Chiapas,25/06/2021,6.36,3.59,2.12
Chihuahua,25/06/2021,7.57,7.14,4.54
Ciudad de México,25/06/2021,26.3,15.61,12.35
Coahuila de Zaragoza,25/06/2021,13.65,6.66,20
Colima,25/06/2021,14.43,21.66,33.33
Durango,25/06/2021,22.36,13.43,12.12
Guanajuato,25/06/2021,3.28,1.2,4.44
Guerrero,25/06/2021,7.83,6.04,5.12
Hidalgo,25/06/2021,15.27,6.2,6.66
Jalisco,25/06/2021,12.91,8.43,18.45
México,25/06/2021,12.32,8.27,16.07
Michoacán de Ocampo,25/06/2021,6.33,8.62,15.38
Morelos,25/06/2021,11.76,0,0
Nayarit,25/06/2021,21.1,12.79,0
Nuevo León,25/06/2021,19.77,17.78,30.09
Oaxaca,25/06/2021,18.28,21.59,65
Puebla,25/06/2021,11.39,5.97,18.64
Querétaro,25/06/2021,5.39,1.98,22.72
Quintana Roo,25/06/2021,40,16.94,26.66
San Luis Potosí,25/06/2021,10.13,9.3,23.07
Sinaloa,25/06/2021,34.42,19.02,38.29
Sonora,25/06/2021,33.76,24.59,40.81
Tabasco,25/06/2021,25.36,40.19,35.63
Tamaulipas,25/06/2021,35.28,19.08,34.4
Tlaxcala,25/06/2021,4.27,7.31,0
Veracruz de Ignacio de la Llave,25/06/2021,19.13,7.54,13.79
Yucatán,25/06/2021,25.6,44.97,71.87
Zacatecas,25/06/2021,3.96,3.12,5.55
Aguascalientes,26/06/2021,15.25,9.23,0
Baja California,26/06/2021,10.94,9.13,0
Baja California Sur,26/06/2021,61.09,55.81,14.28
Campeche,26/06/2021,12.18,4.95,9.67
Chiapas,26/06/2021,6.4,3.59,2.12
Chihuahua,26/06/2021,6.98,5.38,1.85
Ciudad de México,26/06/2021,24.62,13.97,10.03
Coahuila de Zaragoza,26/06/2021,12.13,5.21,20
Colima,26/06/2021,20.68,21.42,0
Durango,26/06/2021,19.75,11.25,10.86
Guanajuato,26/06/2021,3.17,1.77,7.14
Guerrero,26/06/2021,8.05,5.85,6.25
Hidalgo,26/06/2021,15.49,5.51,6.66
Jalisco,26/06/2021,13.53,8.56,15.66
México,26/06/2021,12.01,7.81,16.54
Michoacán de Ocampo,26/06/2021,4.03,8.48,15.38
Morelos,26/06/2021,8.48,0,0
Nayarit,26/06/2021,22.36,11.11,0
Nuevo León,26/06/2021,29.92,15.73,34.38
Oaxaca,26/06/2021,19.4,23.17,56.25
Puebla,26/06/2021,10.55,5.55,15.87
Querétaro,26/06/2021,4.67,1.98,22.72
Quintana Roo,26/06/2021,38.95,18.41,28.81
San Luis Potosí,26/06/2021,9.97,9.92,18.51
Sinaloa,26/06/2021,30.01,21.86,30.76
Sonora,26/06/2021,35.21,28.48,45.23
Tabasco,26/06/2021,33.26,33.33,36.76
Tamaulipas,26/06/2021,33.07,16.3,30.76
Tlaxcala,26/06/2021,8.62,7.5,0
Veracruz de Ignacio de la Llave,26/06/2021,19.14,7.76,15.47
Yucatán,26/06/2021,25,45.18,71.87
Zacatecas,26/06/2021,3.92,3.12,5.55
Aguascalientes,27/06/2021,19.16,9.37,0
Baja California,27/06/2021,10.17,8.54,26.92
Baja California Sur,27/06/2021,62.92,58.41,28.57
Campeche,27/06/2021,12.6,8.13,15.62
Chiapas,27/06/2021,7.18,4.33,2.12
Chihuahua,27/06/2021,9.07,6.43,1.51
Ciudad de México,27/06/2021,25.91,15.27,11.03
Coahuila de Zaragoza,27/06/2021,10.1,5.26,33.33
Colima,27/06/2021,10.12,31.25,0
Durango,27/06/2021,21.79,9.63,10.86
Guanajuato,27/06/2021,3.36,1.99,7.69
Guerrero,27/06/2021,9.77,6.11,11.36
Hidalgo,27/06/2021,14.38,8.16,6.66
Jalisco,27/06/2021,13.35,8.52,12.68
México,27/06/2021,12.86,8.52,17.85
Michoacán de Ocampo,27/06/2021,4.57,8.37,15.38
Morelos,27/06/2021,8.11,0,0
Nayarit,27/06/2021,19.26,13.09,0
Nuevo León,27/06/2021,26.86,18.03,37.5
Oaxaca,27/06/2021,18.38,17.56,45.45
Puebla,27/06/2021,11.42,5.33,19.69
Querétaro,27/06/2021,4.67,1.98,22.72
Quintana Roo,27/06/2021,41.44,18.72,42.5
San Luis Potosí,27/06/2021,8.65,8.82,18.51
Sinaloa,27/06/2021,30.91,26.31,28.57
Sonora,27/06/2021,32.36,26.25,45.23
Tabasco,27/06/2021,29.67,32.85,34.09
Tamaulipas,27/06/2021,40.24,19.54,34.78
Tlaxcala,27/06/2021,6.03,10,0
Veracruz de Ignacio de la Llave,27/06/2021,19.77,8.45,17.2
Yucatán,27/06/2021,24.55,43.35,68.75
Zacatecas,27/06/2021,3.92,3.12,5.55
Aguascalientes,28/06/2021,20.83,6.97,9.67
Baja California,28/06/2021,12.67,8.22,0
Baja California Sur,28/06/2021,61.14,58.49,14.28
Campeche,28/06/2021,10.88,7.25,6.66
Chiapas,28/06/2021,8.17,3.94,2.12
Chihuahua,28/06/2021,9.25,7.31,1.53
Ciudad de México,28/06/2021,28.15,21.67,27.76
Coahuila de Zaragoza,28/06/2021,9.7,4,0
Colima,28/06/2021,15.78,21.31,100
Durango,28/06/2021,25.28,11.29,25.8
Guanajuato,28/06/2021,3.42,1.68,7.84
Guerrero,28/06/2021,9.56,6.39,8.62
Hidalgo,28/06/2021,14.33,7.48,6.66
Jalisco,28/06/2021,14.6,9.45,13.39
México,28/06/2021,13.45,8.18,16.21
Michoacán de Ocampo,28/06/2021,4.77,8.33,15.38
Morelos,28/06/2021,6.36,4.25,0
Nayarit,28/06/2021,21.92,13.58,0
Nuevo León,28/06/2021,20.64,16.7,28.57
Oaxaca,28/06/2021,19.28,26.5,55.55
Puebla,28/06/2021,11.55,4.25,16.92
Querétaro,28/06/2021,4.67,1.98,22.72
Quintana Roo,28/06/2021,42.04,18.98,28.81
San Luis Potosí,28/06/2021,9.24,11.27,18.51
Sinaloa,28/06/2021,31.12,24.88,31.94
Sonora,28/06/2021,34.58,27.02,38.09
Tabasco,28/06/2021,29.68,37.29,31.81
Tamaulipas,28/06/2021,37.47,23.07,31.16
Tlaxcala,28/06/2021,6.36,8.97,0
Veracruz de Ignacio de la Llave,28/06/2021,19.97,7.66,18.82
Yucatán,28/06/2021,23.76,48.85,67.85
Zacatecas,28/06/2021,4.95,3.12,5.55
Aguascalientes,29/06/2021,23.72,6.92,9.67
Baja California,29/06/2021,16.15,12.71,9.3
Baja California Sur,29/06/2021,66.32,58.6,14.28
Campeche,29/06/2021,14.94,9.75,15.62
Chiapas,29/06/2021,7.71,5.86,2.32
Chihuahua,29/06/2021,10.49,7.42,4.28
Ciudad de México,29/06/2021,31.78,20.98,15.59
Coahuila de Zaragoza,29/06/2021,9.62,4.69,0
Colima,29/06/2021,11.45,22.58,100
Durango,29/06/2021,29.26,9.45,10.25
Guanajuato,29/06/2021,2.52,2.05,8.92
Guerrero,29/06/2021,9.91,4.18,5.12
Hidalgo,29/06/2021,14.44,7.23,16.66
Jalisco,29/06/2021,15.23,10.94,14.5
México,29/06/2021,14.61,9.14,18.1
Michoacán de Ocampo,29/06/2021,5.96,7.45,7.69
Morelos,29/06/2021,7.46,4.25,0
Nayarit,29/06/2021,25.86,14.47,0
Nuevo León,29/06/2021,22.4,16.27,32.59
Oaxaca,29/06/2021,19.44,16.98,25
Puebla,29/06/2021,11.53,3.57,19.4
Querétaro,29/06/2021,3.19,2.37,27.27
Quintana Roo,29/06/2021,43.18,20.92,33.33
San Luis Potosí,29/06/2021,11.86,8.63,15.38
Sinaloa,29/06/2021,37.07,24.76,29.57
Sonora,29/06/2021,36.55,29.53,40
Tabasco,29/06/2021,25.74,21.84,37.64
Tamaulipas,29/06/2021,41.83,23.76,41.48
Tlaxcala,29/06/2021,5.4,11.68,0
Veracruz de Ignacio de la Llave,29/06/2021,20.42,10.71,22.22
Yucatán,29/06/2021,24.46,49.17,76.66
Zacatecas,29/06/2021,7.92,3.12,5.55
Aguascalientes,30/06/2021,22.95,8.73,12.9
Baja California,30/06/2021,16.5,12.54,10.86
Baja California Sur,30/06/2021,67.37,58.03,14.28
Campeche,30/06/2021,15.48,8.14,15.62
Chiapas,30/06/2021,8.24,6.13,2.12
Chihuahua,30/06/2021,9.9,7.64,8.77
Ciudad de México,30/06/2021,31.47,26.17,21.8
Coahuila de Zaragoza,30/06/2021,9.59,6.8,0
Colima,30/06/2021,12.87,22.03,100
Durango,30/06/2021,29.26,9.75,12.5
Guanajuato,30/06/2021,2.07,1.59,10
Guerrero,30/06/2021,8.69,4.61,5.12
Hidalgo,30/06/2021,17.15,12.14,33.33
Jalisco,30/06/2021,16.36,9.25,13.65
México,30/06/2021,14.34,9.18,23.65
Michoacán de Ocampo,30/06/2021,5.97,7.58,7.69
Morelos,30/06/2021,4.5,0,0
Nayarit,30/06/2021,24.13,17.72,0
Nuevo León,30/06/2021,22.12,16.7,28.68
Oaxaca,30/06/2021,22.78,21.05,50
Puebla,30/06/2021,11.71,2.85,21.73
Querétaro,30/06/2021,3.55,2.4,27.27
Quintana Roo,30/06/2021,42.13,20.17,33.33
San Luis Potosí,30/06/2021,8.1,10.44,15.38
Sinaloa,30/06/2021,36.65,26.02,29.72
Sonora,30/06/2021,38.54,27.22,45.45
Tabasco,30/06/2021,26.9,33.33,34.44
Tamaulipas,30/06/2021,40.14,25.11,40.62
Tlaxcala,30/06/2021,6.3,11.68,0
Veracruz de Ignacio de la Llave,30/06/2021,21.02,12.08,25.55
Yucatán,30/06/2021,23.49,51.72,81.48
Zacatecas,30/06/2021,6.06,4.61,16.66
Aguascalientes,01/07/2021,23.93,6.87,12.9
Baja California,01/07/2021,15.78,10.56,10.86
Baja California Sur,01/07/2021,68.68,56.95,28.57
Campeche,01/07/2021,16.58,9.02,18.75
Chiapas,01/07/2021,7.19,6.45,2.12
Chihuahua,01/07/2021,9.52,7.14,8.33
Ciudad de México,01/07/2021,35.72,19.44,13.89
Coahuila de Zaragoza,01/07/2021,10.98,6.89,0
Colima,01/07/2021,10.1,23.72,100
Durango,01/07/2021,28.37,11.47,12
Guanajuato,01/07/2021,1.87,1.46,7.14
Guerrero,01/07/2021,10.19,5.23,3.84
Hidalgo,01/07/2021,16.59,12.05,33.33
Jalisco,01/07/2021,14.65,10.95,14.45
México,01/07/2021,15.38,9.96,27.95
Michoacán de Ocampo,01/07/2021,7.09,8.37,7.69
Morelos,01/07/2021,7.8,6.52,0
Nayarit,01/07/2021,27.27,15.38,0
Nuevo León,01/07/2021,25.93,16.22,38.46
Oaxaca,01/07/2021,23.89,25.58,42.85
Puebla,01/07/2021,10.27,4.28,14.28
Querétaro,01/07/2021,4.98,2,22.72
Quintana Roo,01/07/2021,42.6,19.49,33.33
San Luis Potosí,01/07/2021,7.37,8.33,8.33
Sinaloa,01/07/2021,36.41,31.36,40
Sonora,01/07/2021,36.53,26.25,38.09
Tabasco,01/07/2021,27.97,33.86,32.95
Tamaulipas,01/07/2021,39.13,25.11,45.26
Tlaxcala,01/07/2021,4.58,10.12,0
Veracruz de Ignacio de la Llave,01/07/2021,21.95,13.14,24.46
Yucatán,01/07/2021,23.54,44.15,90.62
Zacatecas,01/07/2021,9,4.61,16.66
Aguascalientes,02/07/2021,22.22,6.87,12.9
Baja California,02/07/2021,17.51,14.9,15.38
Baja California Sur,02/07/2021,67.79,58.66,28.57
Campeche,02/07/2021,14.83,9.02,15.62
Chiapas,02/07/2021,5.61,6.4,2.12
Chihuahua,02/07/2021,8.67,5.46,7.14
Ciudad de México,02/07/2021,32.37,19.85,12.96
Coahuila de Zaragoza,02/07/2021,10.11,7.53,0
Colima,02/07/2021,10.12,21.81,0
Durango,02/07/2021,25.97,11.76,10.63
Guanajuato,02/07/2021,2.17,1.63,5.35
Guerrero,02/07/2021,12.99,6.81,3.44
Hidalgo,02/07/2021,16.53,13.13,33.33
Jalisco,02/07/2021,15.48,10.59,14.57
México,02/07/2021,15.62,9.38,22.52
Michoacán de Ocampo,02/07/2021,7.8,8.16,7.69
Morelos,02/07/2021,8.58,6.38,0
Nayarit,02/07/2021,25.83,17.8,100
Nuevo León,02/07/2021,23.73,15.3,31.72
Oaxaca,02/07/2021,23.22,25,40
Puebla,02/07/2021,11.59,3.7,21.73
Querétaro,02/07/2021,5.3,2.02,22.72
Quintana Roo,02/07/2021,40.17,21,48.78
San Luis Potosí,02/07/2021,6.49,7.35,4.34
Sinaloa,02/07/2021,36.23,26.28,29.72
Sonora,02/07/2021,35.81,24.5,38.29
Tabasco,02/07/2021,26.55,32.48,33.33
Tamaulipas,02/07/2021,37.41,25.21,44.44
Tlaxcala,02/07/2021,3.7,8.75,0
Veracruz de Ignacio de la Llave,02/07/2021,23,15.14,31.11
Yucatán,02/07/2021,25.52,47.95,89.65
Zacatecas,02/07/2021,4.95,4.61,16.66
Aguascalientes,03/07/2021,16.94,6.97,12.9
Baja California,03/07/2021,10.6,8.5,9.09
Baja California Sur,03/07/2021,68.72,57.96,14.28
Campeche,03/07/2021,15.31,8.73,13.33
Chiapas,03/07/2021,5.4,7.06,2.12
Chihuahua,03/07/2021,7.79,3.89,3.84
Ciudad de México,03/07/2021,33.82,21.09,10.2
