"","Estado","fecha","hosp_gral","cama_venti","venti_uci"
"424","Coahuila de Zaragoza",2021-06-14,14,6.14,40
"425","Colima",2021-06-14,6.59,20.75,0
"426","Durango",2021-06-14,33.33,5.4,26.66
"427","Guanajuato",2021-06-14,4.51,1.35,7.14
"428","Guerrero",2021-06-14,9.47,11.11,10.52
"429","Hidalgo",2021-06-14,12.05,4.6,0
"430","Jalisco",2021-06-14,13.29,4.85,12.2
"431","México",2021-06-14,11.96,7.27,26.47
"432","Michoacán de Ocampo",2021-06-14,11.23,10.72,12.5
"433","Morelos",2021-06-14,6.99,3.15,0
"434","Nayarit",2021-06-14,22.8,16.21,0
"435","Nuevo León",2021-06-14,24.28,20.65,37.46
"436","Oaxaca",2021-06-14,12.76,7.53,9.09
"437","Puebla",2021-06-14,13.29,9.73,18.51
"438","Querétaro",2021-06-14,3.76,3.44,22.72
"439","Quintana Roo",2021-06-14,36.64,23.2,41.3
"440","San Luis Potosí",2021-06-14,3.33,2.91,6.25
"441","Sinaloa",2021-06-14,23.13,17.15,30.43
"442","Sonora",2021-06-14,25.64,17,42.85
"443","Tabasco",2021-06-14,26.02,28.21,32.14
"444","Tamaulipas",2021-06-14,32.89,13.58,21.23
"445","Tlaxcala",2021-06-14,2.66,9.34,0
"446","Veracruz de Ignacio de La Llave",2021-06-14,15.66,7.9,14.95
"447","Yucatán",2021-06-14,20.8,46.62,78.26
"448","Zacatecas",2021-06-14,5.08,7.51,33.33
"449","Aguascalientes",2021-06-15,12.24,9.21,15.68
"450","Baja California",2021-06-15,14.76,15.4,9.3
"451","Baja California Sur",2021-06-15,44.55,38.88,0
"452","Campeche",2021-06-15,5.02,7.4,14.7
"453","Chiapas",2021-06-15,6.04,6.52,6.34
"454","Chihuahua",2021-06-15,13.49,12.68,14.44
"455","Ciudad de México",2021-06-15,21.85,13.22,12.24
"456","Coahuila de Zaragoza",2021-06-15,12.4,8.16,60
"457","Colima",2021-06-15,6.89,22.64,33.33
"458","Durango",2021-06-15,32.63,7.04,26.66
"459","Guanajuato",2021-06-15,3.94,1.22,8.92
"460","Guerrero",2021-06-15,10.49,7.98,10.25
"461","Hidalgo",2021-06-15,15.21,5.96,0
"462","Jalisco",2021-06-15,13.06,5.41,12.85
"463","México",2021-06-15,11.35,7.7,20.61
"464","Michoacán de Ocampo",2021-06-15,11.4,9.6,6.25
"465","Morelos",2021-06-15,5.41,1.96,0
"466","Nayarit",2021-06-15,18.91,12.65,0
"467","Nuevo León",2021-06-15,26.24,19.75,38.85
"468","Oaxaca",2021-06-15,14.34,9.46,10.29
"469","Puebla",2021-06-15,13,8.69,15.18
"470","Querétaro",2021-06-15,3.49,3.44,27.27
"471","Quintana Roo",2021-06-15,36.03,18.98,28.07
"472","San Luis Potosí",2021-06-15,3.55,5.21,7.4
"473","Sinaloa",2021-06-15,21.9,15.31,28.37
"474","Sonora",2021-06-15,24.32,16.77,40.54
"475","Tabasco",2021-06-15,25.56,33.68,35.29
"476","Tamaulipas",2021-06-15,31.88,17.29,31.81
"477","Tlaxcala",2021-06-15,2.01,8.33,0
"478","Veracruz de Ignacio de La Llave",2021-06-15,16.81,9.55,16.66
"479","Yucatán",2021-06-15,20.65,46.95,77.27
"480","Zacatecas",2021-06-15,5.21,7.57,33.33
"481","Aguascalientes",2021-06-16,18.33,8.52,25.8
"482","Baja California",2021-06-16,13.38,13.59,9.3
"483","Baja California Sur",2021-06-16,45.67,40.29,0
"484","Campeche",2021-06-16,5.88,10.28,17.64
"485","Chiapas",2021-06-16,7.1,6.25,6.34
"486","Chihuahua",2021-06-16,14.34,12.31,10
"487","Ciudad de México",2021-06-16,23.14,13.85,14.53
"488","Coahuila de Zaragoza",2021-06-16,15.09,8.1,60
"489","Colima",2021-06-16,8.65,19.6,33.33
"490","Durango",2021-06-16,35.41,7.35,31.11
"491","Guanajuato",2021-06-16,3.83,2.06,8.92
"492","Guerrero",2021-06-16,9.44,8.14,10.25
"493","Hidalgo",2021-06-16,16.27,6.8,0
"494","Jalisco",2021-06-16,12.74,5.62,13.33
"495","México",2021-06-16,13.31,6.38,19.46
"496","Michoacán de Ocampo",2021-06-16,7.63,9.58,6.25
"497","Morelos",2021-06-16,7.76,1.4,0
"498","Nayarit",2021-06-16,20.9,13.58,0
"499","Nuevo León",2021-06-16,28.03,17.9,35.69
"500","Oaxaca",2021-06-16,13.72,12.19,11.94
"501","Puebla",2021-06-16,11.18,7.8,10.52
"502","Querétaro",2021-06-16,4,1.93,27.27
"503","Quintana Roo",2021-06-16,37.5,20.55,31.34
"504","San Luis Potosí",2021-06-16,3.59,5.68,7.27
"505","Sinaloa",2021-06-16,23.09,16.29,28.94
"506","Sonora",2021-06-16,26.31,19.31,31.81
"507","Tabasco",2021-06-16,27.65,36.7,34.14
"508","Tamaulipas",2021-06-16,32.5,19.84,33.69
"509","Tlaxcala",2021-06-16,2.68,9.17,0
"510","Veracruz de Ignacio de La Llave",2021-06-16,18.58,9,20.2
"511","Yucatán",2021-06-16,24.19,45.73,80
"512","Zacatecas",2021-06-16,2.58,6.81,33.33
"513","Aguascalientes",2021-06-17,21.95,7.25,22.58
"514","Baja California",2021-06-17,16.46,15.3,21.73
"515","Baja California Sur",2021-06-17,57.4,42.21,0
"516","Campeche",2021-06-17,9.76,11,18.75
"517","Chiapas",2021-06-17,5.34,7.52,6.25
"518","Chihuahua",2021-06-17,12.25,11.04,9.67
"519","Ciudad de México",2021-06-17,24.07,13.98,13.84
"520","Coahuila de Zaragoza",2021-06-17,14.7,7.54,33.33
"521","Colima",2021-06-17,9.47,20,33.33
"522","Durango",2021-06-17,26.58,20,33.96
"523","Guanajuato",2021-06-17,4.17,1.91,8.92
"524","Guerrero",2021-06-17,8.09,4.95,5.12
"525","Hidalgo",2021-06-17,16.08,11.4,0
"526","Jalisco",2021-06-17,12.71,7.39,13.17
"527","México",2021-06-17,12.81,6.35,19.64
"528","Michoacán de Ocampo",2021-06-17,5.84,9.73,8.33
"529","Morelos",2021-06-17,9.38,1.75,0
"530","Nayarit",2021-06-17,26.85,9.09,0
"531","Nuevo León",2021-06-17,31.41,17.64,40.15
"532","Oaxaca",2021-06-17,13.75,10.71,3.5
"533","Puebla",2021-06-17,11,6.96,29.57
"534","Querétaro",2021-06-17,3.96,1.96,31.81
"535","Quintana Roo",2021-06-17,39.36,20.08,32.78
"536","San Luis Potosí",2021-06-17,5.4,6.14,12
"537","Sinaloa",2021-06-17,25.05,16.66,23.07
"538","Sonora",2021-06-17,21.13,17.71,28.57
"539","Tabasco",2021-06-17,25.91,34.71,35.8
"540","Tamaulipas",2021-06-17,34.23,17.47,37.89
"541","Tlaxcala",2021-06-17,1.35,8.25,0
"542","Veracruz de Ignacio de La Llave",2021-06-17,17.65,8.49,18.39
"543","Yucatán",2021-06-17,22.86,48.46,80.95
"544","Zacatecas",2021-06-17,2.54,6.01,27.77
"545","Aguascalientes",2021-06-18,15.83,10.23,9.67
"546","Baja California",2021-06-18,16.5,13.85,11.62
"547","Baja California Sur",2021-06-18,54.18,45.07,0
"548","Campeche",2021-06-18,10.08,11,18.75
"549","Chiapas",2021-06-18,5.1,6.76,2.12
"550","Chihuahua",2021-06-18,12.2,10.22,8.57
"551","Ciudad de México",2021-06-18,23.67,13.1,24.36
"552","Coahuila de Zaragoza",2021-06-18,8.56,6.99,20
"553","Colima",2021-06-18,9.47,16,33.33
"554","Durango",2021-06-18,32.97,10,37.5
"555","Guanajuato",2021-06-18,3.73,2.07,8.92
"556","Guerrero",2021-06-18,8.64,5.85,6.41
"557","Hidalgo",2021-06-18,15.24,9.02,0
"558","Jalisco",2021-06-18,12.37,7.67,11.76
"559","México",2021-06-18,11.59,6.54,27.17
"560","Michoacán de Ocampo",2021-06-18,5.18,9.45,8.33
"561","Morelos",2021-06-18,9.28,1.85,0
"562","Nayarit",2021-06-18,25,11.39,100
"563","Nuevo León",2021-06-18,29.2,17.46,35.33
"564","Oaxaca",2021-06-18,11.45,16,13.11
"565","Puebla",2021-06-18,10.44,6.99,23.07
"566","Querétaro",2021-06-18,3.66,1.58,12.5
"567","Quintana Roo",2021-06-18,39.13,19.83,31.66
"568","San Luis Potosí",2021-06-18,10.81,5.78,12
"569","Sinaloa",2021-06-18,26.88,18.75,27.16
"570","Sonora",2021-06-18,26.19,18.56,36.17
"571","Tabasco",2021-06-18,25.09,34.19,32.5
"572","Tamaulipas",2021-06-18,36.29,16.79,37.5
"573","Tlaxcala",2021-06-18,2.72,7.4,0
"574","Veracruz de Ignacio de La Llave",2021-06-18,17.4,7.91,18.39
"575","Yucatán",2021-06-18,23.12,49.1,78.26
"576","Zacatecas",2021-06-18,3.38,6.01,27.77
"577","Aguascalientes",2021-06-19,21.25,9.09,22.58
"578","Baja California",2021-06-19,10.96,12.54,21.73
"579","Baja California Sur",2021-06-19,71.3,77.31,0
"580","Campeche",2021-06-19,9.19,6.66,12.5
"581","Chiapas",2021-06-19,4.59,6.04,2.12
"582","Chihuahua",2021-06-19,9.43,7.3,2.77
"583","Ciudad de México",2021-06-19,23.3,13.44,18.69
"584","Coahuila de Zaragoza",2021-06-19,10.78,9.09,20
"585","Colima",2021-06-19,15.62,12.76,0
"586","Durango",2021-06-19,21.05,21.25,34.14
"587","Guanajuato",2021-06-19,3.68,1.62,7.69
"588","Guerrero",2021-06-19,7.42,6.66,7.81
"589","Hidalgo",2021-06-19,14.84,9.65,0
"590","Jalisco",2021-06-19,12.12,8.2,11.33
"591","México",2021-06-19,10.77,6.03,25.53
"592","Michoacán de Ocampo",2021-06-19,5.71,8.63,8.33
"593","Morelos",2021-06-19,8.21,0,0
"594","Nayarit",2021-06-19,25,11.39,100
"595","Nuevo León",2021-06-19,29.11,17.03,36.65
"596","Oaxaca",2021-06-19,18.45,22.72,48
"597","Puebla",2021-06-19,9.58,5.63,7.01
"598","Querétaro",2021-06-19,4.74,1.98,18.75
"599","Quintana Roo",2021-06-19,39.47,21.72,31.66
"600","San Luis Potosí",2021-06-19,10.88,6.35,16
"601","Sinaloa",2021-06-19,27.35,20.85,28.2
"602","Sonora",2021-06-19,30.61,21.68,34.14
"603","Tabasco",2021-06-19,27.07,30.61,38.82
"604","Tamaulipas",2021-06-19,34.36,15.27,34.48
"605","Tlaxcala",2021-06-19,2.02,6.54,0
"606","Veracruz de Ignacio de La Llave",2021-06-19,16.77,8.72,16.12
"607","Yucatán",2021-06-19,23.95,48.33,54.28
"608","Zacatecas",2021-06-19,3.38,5.26,22.22
"609","Aguascalientes",2021-06-20,20,9.01,19.35
"610","Baja California",2021-06-20,9.3,14.02,21.73
"611","Baja California Sur",2021-06-20,56.25,49.76,0
"612","Campeche",2021-06-20,10.69,6.93,12.5
"613","Chiapas",2021-06-20,4.61,6.42,2.12
"614","Chihuahua",2021-06-20,9.4,6.25,5.45
"615","Ciudad de México",2021-06-20,22.39,9.33,7.66
"616","Coahuila de Zaragoza",2021-06-20,12.07,9.32,60
"617","Colima",2021-06-20,14.73,14,0
"618","Durango",2021-06-20,21.79,9.19,10.41
"619","Guanajuato",2021-06-20,3.48,0.95,0
"620","Guerrero",2021-06-20,8.03,6.25,7.81
"621","Hidalgo",2021-06-20,16.19,10.88,0
"622","Jalisco",2021-06-20,10.65,7.18,11.05
"623","México",2021-06-20,11.15,5.87,18.91
"624","Michoacán de Ocampo",2021-06-20,6.54,7.94,10
"625","Morelos",2021-06-20,8.1,0,0
"626","Nayarit",2021-06-20,24.54,10.25,0
"627","Nuevo León",2021-06-20,26.98,19.65,37.31
"628","Oaxaca",2021-06-20,12.42,21.62,44
"629","Puebla",2021-06-20,9.7,5.3,18.46
"630","Querétaro",2021-06-20,4.37,2.38,25
"631","Quintana Roo",2021-06-20,39.13,22.76,45
"632","San Luis Potosí",2021-06-20,11.77,6.74,23.52
"633","Sinaloa",2021-06-20,26.25,20.47,28.2
"634","Sonora",2021-06-20,31.31,21.27,40.62
"635","Tabasco",2021-06-20,35.07,34.21,40.9
"636","Tamaulipas",2021-06-20,34.57,14.54,31.81
"637","Tlaxcala",2021-06-20,2.02,7.4,0
"638","Veracruz de Ignacio de La Llave",2021-06-20,18.13,7.66,14.94
"639","Yucatán",2021-06-20,25.63,43.02,62.85
"640","Zacatecas",2021-06-20,4,6.34,16.66
"641","Aguascalientes",2021-06-21,20.86,9.02,9.67
"642","Baja California",2021-06-21,15.61,17.15,11.36
"643","Baja California Sur",2021-06-21,61.18,50.73,0
"644","Campeche",2021-06-21,10.98,9.7,18.18
"645","Chiapas",2021-06-21,3.81,6.08,1.72
"646","Chihuahua",2021-06-21,9.28,7.3,4.28
"647","Ciudad de México",2021-06-21,23.49,13.8,13.89
"648","Coahuila de Zaragoza",2021-06-21,9.88,7.23,42.85
"649","Colima",2021-06-21,11.82,21.15,0
"650","Durango",2021-06-21,32.63,10.44,31.25
"651","Guanajuato",2021-06-21,3.55,1.31,7.14
"652","Guerrero",2021-06-21,8.19,5.58,7.69
"653","Hidalgo",2021-06-21,13.75,9.02,0
"654","Jalisco",2021-06-21,14.63,6.71,12.12
"655","México",2021-06-21,11.9,6.81,17.11
"656","Michoacán de Ocampo",2021-06-21,6.68,8.48,8.33
"657","Morelos",2021-06-21,10.38,0,100
"658","Nayarit",2021-06-21,20.9,8.75,0
"659","Nuevo León",2021-06-21,28.47,18.55,38.32
"660","Oaxaca",2021-06-21,13.4,20.19,43.47
"661","Puebla",2021-06-21,10.05,6,14.51
"662","Querétaro",2021-06-21,5.07,2,31.57
"663","Quintana Roo",2021-06-21,40.7,19.42,27.58
"664","San Luis Potosí",2021-06-21,11.84,7.18,16
"665","Sinaloa",2021-06-21,27.73,19.72,29.26
"666","Sonora",2021-06-21,29.68,23.39,35.55
"667","Tabasco",2021-06-21,27.62,36.97,38.09
"668","Tamaulipas",2021-06-21,34.79,17.37,33.68
"669","Tlaxcala",2021-06-21,2.02,7.4,0
"670","Veracruz de Ignacio de La Llave",2021-06-21,18.19,7.12,13.79
"671","Yucatán",2021-06-21,24.22,45.78,60
"672","Zacatecas",2021-06-21,1.6,5.55,16.66
"673","Aguascalientes",2021-06-22,19.65,9.16,0
"674","Baja California",2021-06-22,16.4,14.09,11.36
"675","Baja California Sur",2021-06-22,65.12,54.73,14.28
"676","Campeche",2021-06-22,14.61,6.72,13.33
"677","Chiapas",2021-06-22,4.09,4.94,2.12
"678","Chihuahua",2021-06-22,8.85,7.9,4.28
"679","Ciudad de México",2021-06-22,24.08,13.25,13.89
"680","Coahuila de Zaragoza",2021-06-22,8.67,6.71,44.44
"681","Colima",2021-06-22,13.26,25.42,33.33
"682","Durango",2021-06-22,21.34,9.72,10.25
"683","Guanajuato",2021-06-22,3.41,2,9.09
"684","Guerrero",2021-06-22,7.58,7.42,7.69
"685","Hidalgo",2021-06-22,14.33,8.27,6.66
"686","Jalisco",2021-06-22,14.79,6.65,12.19
"687","México",2021-06-22,13.06,6.87,18.88
"688","Michoacán de Ocampo",2021-06-22,6.13,7.92,15.38
"689","Morelos",2021-06-22,10.75,0,0
"690","Nayarit",2021-06-22,26.6,8.53,0
"691","Nuevo León",2021-06-22,23.08,17.7,38.57
"692","Oaxaca",2021-06-22,16,22.22,56
"693","Puebla",2021-06-22,10.45,6.29,17.18
"694","Querétaro",2021-06-22,5.41,2.76,22.72
"695","Quintana Roo",2021-06-22,41.93,20.4,27.86
"696","San Luis Potosí",2021-06-22,10.91,7.6,22.22
"697","Sinaloa",2021-06-22,32.21,19.02,29.26
"698","Sonora",2021-06-22,29.94,24.17,37.77
"699","Tabasco",2021-06-22,29.54,42.6,40.27
"700","Tamaulipas",2021-06-22,32.89,17.21,31.16
"701","Tlaxcala",2021-06-22,0.67,7.33,0
"702","Veracruz de Ignacio de La Llave",2021-06-22,18.97,8.19,14.28
"703","Yucatán",2021-06-22,23.5,42.69,74.28
"704","Zacatecas",2021-06-22,4.12,5.26,16.66
"705","Aguascalientes",2021-06-23,16.23,9.09,0
"706","Baja California",2021-06-23,16.21,16.21,11.36
"707","Baja California Sur",2021-06-23,66.26,54.97,28.57
"708","Campeche",2021-06-23,12.66,5.69,15.62
"709","Chiapas",2021-06-23,4.09,5.28,2.12
"710","Chihuahua",2021-06-23,9.3,7.31,4.54
"711","Ciudad de México",2021-06-23,24.02,13.47,13.73
"712","Coahuila de Zaragoza",2021-06-23,11.16,6.66,0
"713","Colima",2021-06-23,11.34,25,0
"714","Durango",2021-06-23,17.94,13.69,17.5
"715","Guanajuato",2021-06-23,3.04,1.58,7.14
"716","Guerrero",2021-06-23,7.33,6.79,7.69
"717","Hidalgo",2021-06-23,15.12,8.39,6.66
"718","Jalisco",2021-06-23,13.73,8.24,14
"719","México",2021-06-23,12.27,7.35,15.92
"720","Michoacán de Ocampo",2021-06-23,6.74,8.33,21.42
"721","Morelos",2021-06-23,10.37,0,0
"722","Nayarit",2021-06-23,20.95,11.62,0
"723","Nuevo León",2021-06-23,25,15.29,29.46
"724","Oaxaca",2021-06-23,22.66,19.19,65
"725","Puebla",2021-06-23,10.93,6.94,20.89
"726","Querétaro",2021-06-23,2.88,3.55,31.81
"727","Quintana Roo",2021-06-23,42.47,19.67,27.86
"728","San Luis Potosí",2021-06-23,12.14,7.14,22.22
"729","Sinaloa",2021-06-23,29.95,17.59,22.22
"730","Sonora",2021-06-23,32.27,26.62,38.46
"731","Tabasco",2021-06-23,25.95,42.45,40.86
"732","Tamaulipas",2021-06-23,34.33,18.35,34.06
"733","Tlaxcala",2021-06-23,0.66,6.48,0
"734","Veracruz de Ignacio de La Llave",2021-06-23,19.91,6.64,14.94
"735","Yucatán",2021-06-23,24.06,40.11,75
"736","Zacatecas",2021-06-23,2.97,4.65,11.11
"737","Aguascalientes",2021-06-24,21.13,9.52,16.12
"738","Baja California",2021-06-24,18.58,12.08,11.36
"739","Baja California Sur",2021-06-24,75.83,79.48,14.28
"740","Campeche",2021-06-24,10.23,4.09,3.33
"741","Chiapas",2021-06-24,5.63,3.94,2.12
"742","Chihuahua",2021-06-24,8.29,8.12,3.27
"743","Ciudad de México",2021-06-24,24.01,14.66,13.52
"744","Coahuila de Zaragoza",2021-06-24,8.3,6.08,0
"745","Colima",2021-06-24,8.16,25,0
"746","Durango",2021-06-24,27.05,8.1,19.14
"747","Guanajuato",2021-06-24,2.88,1.87,9.8
"748","Guerrero",2021-06-24,7.23,8.25,7.81
"749","Hidalgo",2021-06-24,15.62,7.04,6.66
"750","Jalisco",2021-06-24,13.26,7.86,15.04
"751","México",2021-06-24,13.11,7.48,14.95
"752","Michoacán de Ocampo",2021-06-24,6.87,8.15,18.18
"753","Morelos",2021-06-24,11.11,0,0
"754","Nayarit",2021-06-24,22.42,13.09,0
"755","Nuevo León",2021-06-24,23.4,16.26,33.33
"756","Oaxaca",2021-06-24,15.38,25.31,56.25
"757","Puebla",2021-06-24,11.14,6.66,18.46
"758","Querétaro",2021-06-24,5.03,1.58,18.18
"759","Quintana Roo",2021-06-24,43.06,19.56,40.47
"760","San Luis Potosí",2021-06-24,8.51,7.18,22.22
"761","Sinaloa",2021-06-24,32.37,18.18,23.07
"762","Sonora",2021-06-24,32.47,24.58,39.02
"763","Tabasco",2021-06-24,27.33,40.39,41.3
"764","Tamaulipas",2021-06-24,33.5,18.25,33.69
"765","Tlaxcala",2021-06-24,2.64,5.55,0
"766","Veracruz de Ignacio de La Llave",2021-06-24,20,6.81,12.94
"767","Yucatán",2021-06-24,25.02,41.31,72.72
"768","Zacatecas",2021-06-24,3.96,3.9,11.11
"769","Aguascalientes",2021-06-25,18.1,8.39,0
"770","Baja California",2021-06-25,16.3,14.07,16.66
"771","Baja California Sur",2021-06-25,56.12,53.52,0
"772","Campeche",2021-06-25,12,4.16,6.45
"773","Chiapas",2021-06-25,6.36,3.59,2.12
"774","Chihuahua",2021-06-25,7.57,7.14,4.54
"775","Ciudad de México",2021-06-25,26.3,15.61,12.35
"776","Coahuila de Zaragoza",2021-06-25,13.65,6.66,20
"777","Colima",2021-06-25,14.43,21.66,33.33
"778","Durango",2021-06-25,22.36,13.43,12.12
"779","Guanajuato",2021-06-25,3.28,1.2,4.44
"780","Guerrero",2021-06-25,7.83,6.04,5.12
"781","Hidalgo",2021-06-25,15.27,6.2,6.66
"782","Jalisco",2021-06-25,12.91,8.43,18.45
"783","México",2021-06-25,12.32,8.27,16.07
"784","Michoacán de Ocampo",2021-06-25,6.33,8.62,15.38
"785","Morelos",2021-06-25,11.76,0,0
"786","Nayarit",2021-06-25,21.1,12.79,0
"787","Nuevo León",2021-06-25,19.77,17.78,30.09
"788","Oaxaca",2021-06-25,18.28,21.59,65
"789","Puebla",2021-06-25,11.39,5.97,18.64
"790","Querétaro",2021-06-25,5.39,1.98,22.72
"791","Quintana Roo",2021-06-25,40,16.94,26.66
"792","San Luis Potosí",2021-06-25,10.13,9.3,23.07
"793","Sinaloa",2021-06-25,34.42,19.02,38.29
"794","Sonora",2021-06-25,33.76,24.59,40.81
"795","Tabasco",2021-06-25,25.36,40.19,35.63
"796","Tamaulipas",2021-06-25,35.28,19.08,34.4
"797","Tlaxcala",2021-06-25,4.27,7.31,0
"798","Veracruz de Ignacio de La Llave",2021-06-25,19.13,7.54,13.79
"799","Yucatán",2021-06-25,25.6,44.97,71.87
"800","Zacatecas",2021-06-25,3.96,3.12,5.55
"801","Aguascalientes",2021-06-26,15.25,9.23,0
"802","Baja California",2021-06-26,10.94,9.13,0
"803","Baja California Sur",2021-06-26,61.09,55.81,14.28
"804","Campeche",2021-06-26,12.18,4.95,9.67
"805","Chiapas",2021-06-26,6.4,3.59,2.12
"806","Chihuahua",2021-06-26,6.98,5.38,1.85
"807","Ciudad de México",2021-06-26,24.62,13.97,10.03
"808","Coahuila de Zaragoza",2021-06-26,12.13,5.21,20
"809","Colima",2021-06-26,20.68,21.42,0
"810","Durango",2021-06-26,19.75,11.25,10.86
"811","Guanajuato",2021-06-26,3.17,1.77,7.14
"812","Guerrero",2021-06-26,8.05,5.85,6.25
"813","Hidalgo",2021-06-26,15.49,5.51,6.66
"814","Jalisco",2021-06-26,13.53,8.56,15.66
"815","México",2021-06-26,12.01,7.81,16.54
"816","Michoacán de Ocampo",2021-06-26,4.03,8.48,15.38
"817","Morelos",2021-06-26,8.48,0,0
"818","Nayarit",2021-06-26,22.36,11.11,0
"819","Nuevo León",2021-06-26,29.92,15.73,34.38
"820","Oaxaca",2021-06-26,19.4,23.17,56.25
"821","Puebla",2021-06-26,10.55,5.55,15.87
"822","Querétaro",2021-06-26,4.67,1.98,22.72
"823","Quintana Roo",2021-06-26,38.95,18.41,28.81
"824","San Luis Potosí",2021-06-26,9.97,9.92,18.51
"825","Sinaloa",2021-06-26,30.01,21.86,30.76
"826","Sonora",2021-06-26,35.21,28.48,45.23
"827","Tabasco",2021-06-26,33.26,33.33,36.76
"828","Tamaulipas",2021-06-26,33.07,16.3,30.76
"829","Tlaxcala",2021-06-26,8.62,7.5,0
"830","Veracruz de Ignacio de La Llave",2021-06-26,19.14,7.76,15.47
"831","Yucatán",2021-06-26,25,45.18,71.87
"832","Zacatecas",2021-06-26,3.92,3.12,5.55
"833","Aguascalientes",2021-06-27,19.16,9.37,0
"834","Baja California",2021-06-27,10.17,8.54,26.92
"835","Baja California Sur",2021-06-27,62.92,58.41,28.57
"836","Campeche",2021-06-27,12.6,8.13,15.62
"837","Chiapas",2021-06-27,7.18,4.33,2.12
"838","Chihuahua",2021-06-27,9.07,6.43,1.51
"839","Ciudad de México",2021-06-27,25.91,15.27,11.03
"840","Coahuila de Zaragoza",2021-06-27,10.1,5.26,33.33
"841","Colima",2021-06-27,10.12,31.25,0
"842","Durango",2021-06-27,21.79,9.63,10.86
"843","Guanajuato",2021-06-27,3.36,1.99,7.69
"844","Guerrero",2021-06-27,9.77,6.11,11.36
"845","Hidalgo",2021-06-27,14.38,8.16,6.66
"846","Jalisco",2021-06-27,13.35,8.52,12.68
"847","México",2021-06-27,12.86,8.52,17.85
